title,year,publisher,structure,pages,reader_url,grounding,no_narration_short,hook,date_added,status
Age of Apocalypse (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),31,https://batcave.biz/reader/7452/43830,sdk-web,verified-clean (no SW2015 AoA narration short found; only general SW 2015 overviews),En Sabah Nur still reigns over his mutant-dominated domain; the human resistance fights back,2026-06-10,queued
E Is for Extinction (Secret Wars),2015,Marvel/Secret Wars,mini (4 issues),31,https://batcave.biz/reader/14118/94823,sdk-web,verified-clean (no narration short found for this SW2015 mini),Grant Morrison's X-Men era gets a dark Battleworld twist: Cassandra Nova is back with new plans for the Xavier Institute,2026-06-10,queued
Years of Future Past (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),29,https://batcave.biz/reader/31929/226507,sdk-web,verified-clean (no narration short found),The Days of Future Past timeline as a live Battleworld domain: Kitty Pryde leads the last free mutants against the Sentinels,2026-06-10,queued
Weirdworld (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),22,https://batcave.biz/reader/31201/220646,sdk-web,verified-clean (no narration short found),Arkon the Barbarian wanders a savage Battleworld realm of monsters and sorcery searching for his lost home Polemachus,2026-06-10,queued
Master of Kung Fu (Secret Wars),2015,Marvel/Secret Wars,mini (4 issues),20,https://batcave.biz/reader/21405/148104,sdk-web,verified-clean (no narration short found),A Battleworld domain where kung fu is the only law; Shang-Chi challenges the Iron Fist lineage ruling the Deadly Hand of Doom,2026-06-10,queued
Red Skull (Secret Wars),2015,Marvel/Secret Wars,mini (3 issues),21,https://batcave.biz/reader/24049/166017,sdk-web,verified-clean (Complete Story long-form exists but no narration short),The Red Skull is the most wanted fugitive on Battleworld; a ragtag team of heroes and villains hunts him across domains,2026-06-10,queued
Siege (Secret Wars),2015,Marvel/Secret Wars,mini (4 issues),21,https://batcave.biz/reader/25330/174758,sdk-web,verified-clean (no narration short found),Abigail Brand has guarded the Shield wall against Battleworld's zombie hordes for years; a last desperate stand,2026-06-10,queued
Korvac Saga (Secret Wars),2015,Marvel/Secret Wars,mini (4 issues),22,https://batcave.biz/reader/19847/136431,sdk-web,verified-clean (no narration short found),The Guardians of the Galaxy defend their Battleworld kingdom against a resurgent Korvac seeking godhood again,2026-06-10,queued
Spider-Island (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),35,https://batcave.biz/reader/25867/178269,sdk-web,verified-clean (Complete Story long-form exists but no narration short),What if Peter Parker never won? Manhattan overrun by spider-creatures; Agent Venom leads the human resistance,2026-06-10,queued
Captain Marvel: The End,2020,Marvel,one-shot,30,https://batcave.biz/reader/1106/5982,manual:marvel.fandom.com/wiki/Captain_Marvel:_The_End_Vol_1_1,verified-clean (no full-story narration short found; MCU film clips only),Carol Danvers — last hero alive in a dying universe — sacrifices herself to restart the sun and save the final survivors,2026-06-15,queued
Thor Annual,2023,Marvel,one-shot,29,https://batcave.biz/reader/6183/32030,manual:marvel.fandom.com/wiki/Thor_Annual_Vol_5_1,verified-clean (long-form watch video only; no /shorts/ narration),Thor All-Father vs M.Y.T.H.O.S — MODOK fused with the Bifrost — who has seized all Ten Realms,2026-06-15,queued
Wolverine: Debt of Death,2011,Marvel,one-shot,35,https://batcave.biz/reader/31612/223760,manual:marvel.fandom.com/wiki/Wolverine:_Debt_of_Death_Vol_1_1,verified-clean (only Death of Wolverine 2014 shorts; no short for this 2011 one-shot),Wolverine in post-WWII Japan pays a blood debt to a murdered friend — ninja assassins and WWII robot suits,2026-06-15,queued
Hellboy: Krampusnacht,2017,Dark Horse,one-shot,34,https://batcave.biz/reader/17041/114948,manual:hellboy.fandom.com/wiki/Krampusnacht,verified-clean (no /shorts/ narration found; only dub/review/long-form),Hellboy hunts down Krampus in 1975 Austria — a demon who begs to be sent back to Hell by its ancient victims' ghosts,2026-06-16,queued
Punisher MAX: Butterfly,2010,Marvel,one-shot,36,https://batcave.biz/reader/23746/164080,manual:marvel.fandom.com/wiki/Punisher_Max:_Butterfly_Vol_1_1,verified-clean (no /shorts/ narration for this one-shot; Punisher MAX shorts are all Garth Ennis saga-general),A hitwoman marked for death leads the Punisher into a noir web — is she a killer or a victim?,2026-06-16,queued
Beta Ray Bill,2021,Marvel,mini (5 issues),133,https://batcave.biz/reader/786/4264,manual:marvel.fandom.com/wiki/Beta_Ray_Bill_Vol_1_1,"verified-clean (""Beta Ray Bill vs Surtur"" /shorts/ is a single-moment clip from issue #5; ""FULL STORY"" is long-form /watch?; no full-story narration Short found)",Beta Ray Bill — tired of Thor's shadow and Stormbreaker destroyed — seeks a new weapon and destiny and must duel Surtur the fire god for the soul of his people,2026-06-16,queued
Cosmic Ghost Rider,2018,Marvel,mini (5 issues),115,https://batcave.biz/reader/12081/122758,manual:marvel.fandom.com/wiki/Cosmic_Ghost_Rider_Vol_1_1,verified-clean (Comicstorian/Comics Explained coverage is long-form /watch?; a Spanish-language /shorts/ covers origin clip only; no full-story narration Short in English found),Frank Castle — Punisher turned Ghost Rider turned herald of Galactus — travels back in time to raise baby Thanos right and stop universal destruction before it begins,2026-06-16,queued
Thanos Annual,2014,Marvel,one-shot,30,https://batcave.biz/reader/27264/189596,manual:marvel.fandom.com/wiki/Thanos_Annual_Vol_1_1,verified-clean (no /shorts/ narration for this specific one-shot; general Thanos/Mephisto Shorts are about other stories),Trapped in Mephisto's realm after the destruction of the Cosmic Cube Thanos is visited by his own future self wielding the Infinity Gauntlet — a temporal rescue that bends fate itself,2026-06-16,queued
Edge of Spider-Verse #2 (Gwen Stacy: Spider-Woman),2014,Marvel,one-shot,23,https://batcave.biz/reader/14196/95260,manual:marvel.fandom.com/wiki/Edge_of_Spider-Verse_Vol_1_2,verified-clean (only collector-investment Shorts and film clips; no full-story narration Short of this comic issue found),Spider-Gwen's origin — Gwen Stacy is the one bitten by the radioactive spider; Peter Parker dies as the Lizard in her arms; she's hunted by the NYPD and the city; in the climax she reveals her identity to her father Captain Stacy — who lets her go,2026-06-18,queued
Miles Morales: Spider-Man Annual #1,2021,Marvel,one-shot,34,https://batcave.biz/reader/36089/256556,manual:marvel.fandom.com/wiki/Miles_Morales:_Spider-Man_Annual_Vol_1_1,verified-clean (no /shorts/ full-story narration found; only game-related Miles Morales Shorts),Miles Morales and Amulet fight ancient mythological monsters in Brooklyn — cursed artifacts unleash a Cyklops then a Roc that kidnaps Miles; Red Owl is destroyed when his own fireball rebounds; first and only appearance of Red Owl (dies this issue) — fully resolved,2026-06-18,queued
Spider-Man Annual #1 (Spider-Ham),2019,Marvel,one-shot,34,https://batcave.biz/reader/25909/178651,manual:marvel.fandom.com/wiki/Spider-Man_Annual_Vol_3_1,verified-clean (all Shorts found are the animated Into the Spider-Verse film cartoon; no comic-narration Short of this 2019 annual found),By the creators of Into the Spider-Verse — Spider-Ham saves the multiverse when Spider-Gwen's web-watch teleports his entire rogues gallery across dimensions; fourth-wall-breaking madcap adventure with Howard the Duck cameo — self-contained and fully resolved,2026-06-18,queued
Absolute Carnage: Symbiote Spider-Man,2019,Marvel,one-shot,36,https://batcave.biz/reader/92/619,manual:marvel.fandom.com/wiki/Absolute_Carnage:_Symbiote_Spider-Man_Vol_1_1,verified-clean (no /shorts/ full-story narration found; only character-profile clips of Venom/Symbiote),Judge Leonard Elkhart bonds with the Venom symbiote — becoming a killer — only to be brutally killed by Dark Carnage who rips out his spine; Spider-Man and Venom team up to stop the massacre — self-contained origin-to-death story of a forgotten symbiote host,2026-06-18,queued
King In Black: Spider-Man,2021,Marvel,one-shot,33,https://batcave.biz/reader/3208/16771,manual:marvel.fandom.com/wiki/King_in_Black:_Spider-Man_Vol_1_1,"verified-clean (Comicstorian ""Complete Story #12"" is long-form not a Short; the only /shorts/ found are about Spider-Man becoming King in Black in 2026 — a different concept)",Spider-Man spirals with guilt that Knull's symbiote invasion is his fault (he brought Venom to Earth); teams with Reptil and Mrs. Volkov to kill a symbiote dragon; restored to resolve — fully self-contained arc within the King in Black event,2026-06-18,queued
Amazing Spider-Man Annual #1 (Black Suit / Symbiote POV),2018,Marvel,one-shot,34,https://batcave.biz/reader/241/1502,manual:marvel.fandom.com/wiki/Amazing_Spider-Man_Annual_Vol_5_1,verified-clean (no /shorts/ narration of this issue found; symbiote Shorts are game-clips or movie edits),Untold tale from the black-suit era — the symbiote narrates its secret nighttime excursions using Peter's sleeping body: it fights Hammerhead's gang while feeding Peter dreams of saving Gwen and Uncle Ben; Black Cat realizes its autonomous nature is wrong — conclusive period-piece done-in-one,2026-06-18,queued
